episode,total_reward,average_q,safe_rate_100,attempted,executed,steps,epsilon,training_loss
76,-162.9947574529,2.5755276680,0.0526315789,61,49,87,0.9321652000,1.976125
77,-188.4202063895,2.6154093742,0.0519480519,71,57,87,0.9313039000,1.537485
78,-128.2571553197,3.2012424469,0.0512820513,62,56,83,0.9304822000,1.933873
79,-96.9930115284,3.0760564804,0.0506329114,46,39,65,0.9298387000,2.002488
80,-119.1659927823,3.0440909863,0.0500000000,49,41,72,0.9291259000,1.687444
81,-85.5281326744,2.8750443459,0.0493827160,51,40,62,0.9285121000,1.919448
82,-112.7269525973,3.1832985878,0.0487804878,97,76,125,0.9272746000,1.910466
83,-163.6987467158,3.1337249279,0.0481927711,55,48,71,0.9265717000,1.714962
84,4.1238335217,2.9513702393,0.0476190476,61,52,78,0.9257995000,1.964801
85,-93.7213006484,3.6073546410,0.0470588235,63,51,86,0.9249481000,2.072651
86,-138.9965561903,3.4370570183,0.0465116279,57,48,77,0.9241858000,1.913164
87,-167.1373113982,3.5843558311,0.0459770115,81,64,99,0.9232057000,2.073997
88,-115.0405103635,3.4753568172,0.0454545455,59,53,65,0.9225622000,1.993013
89,-113.0946289923,4.1040287018,0.0449438202,48,42,62,0.9219484000,2.352776
90,-312.9051087191,3.6861908436,0.0444444444,60,50,75,0.9212059000,1.715807
91,-293.9021558834,3.7901644707,0.0439560440,75,65,95,0.9202654000,1.961326
92,-133.2697240440,4.1862077713,0.0434782609,64,57,79,0.9194833000,1.755656
93,-113.8577411914,4.4202289581,0.0430107527,69,61,89,0.9186022000,2.478885
94,-68.2026613982,3.8670649529,0.0425531915,91,82,112,0.9174934000,2.078659
95,-131.1587768102,3.9965727329,0.0421052632,83,75,109,0.9164143000,1.932215
96,-129.8434861451,5.2181243896,0.0416666667,88,80,121,0.9152164000,2.351376
97,-98.3132928038,4.5846042633,0.0412371134,68,59,98,0.9142462000,1.944437
98,-111.6915434476,5.1902151108,0.0408163265,60,51,69,0.9135631000,2.082340
99,-86.8793598077,4.8972234726,0.0404040404,59,52,72,0.9128503000,1.942084
100,-163.4406947835,4.9574632645,0.0400000000,86,75,111,0.9117514000,1.828488
101,-51.3153528519,4.7932944298,0.0400000000,47,41,63,0.9111277000,2.425658
102,-114.0383686397,5.1401281357,0.0400000000,70,62,91,0.9102268000,1.969920
103,-222.3047580347,5.1856236458,0.0400000000,99,83,124,0.9089992000,1.948536
104,-93.5675300293,5.2775354385,0.0400000000,47,44,61,0.9083953000,1.799621
105,-163.9235323340,5.3817434311,0.0400000000,101,87,126,0.9071479000,2.047658
106,-197.7106721324,5.1113448143,0.0400000000,79,68,106,0.9060985000,2.087507
107,-92.7106735479,5.5969190598,0.0400000000,53,46,69,0.9054154000,2.108172
108,-90.1736167439,5.7049775124,0.0400000000,73,64,87,0.9045541000,2.133686
109,-80.0420729452,5.5729551315,0.0400000000,89,70,116,0.9034057000,1.907772
110,-119.0836323531,5.4987411499,0.0400000000,77,63,93,0.9024850000,1.746923
111,-90.6921390540,5.7176671028,0.0400000000,53,48,64,0.9018514000,2.234248
112,-122.8776939361,5.9038944244,0.0400000000,106,85,132,0.9005446000,1.972350
113,-117.9691389331,6.1716213226,0.0400000000,52,46,69,0.8998615000,1.964930
114,-189.6026015744,6.1960916519,0.0400000000,110,95,135,0.8985250000,1.901980
115,-103.3836898806,5.8846158981,0.0400000000,85,71,100,0.8975350000,1.963505
116,-161.7680583909,5.9546566010,0.0400000000,96,84,117,0.8963767000,2.004211
117,-105.8385218517,6.3972387314,0.0400000000,68,60,85,0.8955352000,1.971135
118,-22.8255999570,6.2707653046,0.0500000000,57,48,73,0.8948125000,2.431992
119,-208.8950748238,6.3931136131,0.0500000000,64,58,81,0.8940106000,1.884941
120,-123.5193194725,6.3179721832,0.0400000000,70,59,94,0.8930800000,2.069558
121,-137.9532992430,6.1991653442,0.0400000000,49,42,60,0.8924860000,1.947342
122,-106.6148132187,6.6978955269,0.0400000000,91,73,109,0.8914069000,1.761995
123,-109.2239137585,6.8336396217,0.0400000000,54,49,66,0.8907535000,2.351755
124,-119.2751753943,6.9146785736,0.0400000000,60,49,71,0.8900506000,1.659916
125,-115.1946006530,6.6763701439,0.0400000000,72,59,90,0.8891596000,1.718640
126,-121.0983905716,7.1680927277,0.0400000000,85,72,112,0.8880508000,1.674529
127,-153.1346714422,7.0446367264,0.0400000000,75,60,100,0.8870608000,1.682289
128,-132.4585418005,6.7590575218,0.0400000000,87,72,108,0.8859916000,2.223072
129,-153.2511396905,6.6605052948,0.0400000000,70,60,95,0.8850511000,1.637152
130,-147.9360710533,7.2282605171,0.0400000000,71,58,85,0.8842096000,1.821706
131,-132.5727880433,6.8105058670,0.0400000000,79,74,97,0.8832493000,1.514281
132,-183.2782183800,7.3421454430,0.0400000000,65,58,86,0.8823979000,2.043517
133,-105.2212332804,6.9881505966,0.0400000000,55,49,75,0.8816554000,1.850414
134,-126.4229993982,7.8841381073,0.0400000000,76,62,92,0.8807446000,1.713837
135,-153.8181191447,7.4649982452,0.0400000000,68,59,92,0.8798338000,1.727949
136,-99.6216497935,8.0009708405,0.0400000000,55,43,69,0.8791507000,1.523598
137,-147.7665491450,8.0535182953,0.0400000000,124,105,147,0.8776954000,1.751040
138,-153.6780249985,7.5856370926,0.0400000000,75,66,101,0.8766955000,1.526639
139,-101.6540979375,7.9457354546,0.0400000000,49,43,65,0.8760520000,1.884556
140,-79.9200880313,7.9564809799,0.0400000000,84,69,114,0.8749234000,1.713260
141,-102.5706551828,8.0259695053,0.0400000000,63,51,74,0.8741908000,1.446591
142,-115.5390357752,7.8480787277,0.0400000000,110,91,138,0.8728246000,1.840938
143,-243.0757754961,8.1847925186,0.0400000000,59,50,81,0.8720227000,1.465967
144,-113.7169440270,8.9703197479,0.0400000000,63,55,82,0.8712109000,1.808377
145,-184.2214259130,8.8464126587,0.0400000000,90,75,120,0.8700229000,1.625598
146,-138.1856320752,8.9831609726,0.0400000000,66,54,84,0.8691913000,2.102639
147,-125.3227252764,8.8429050446,0.0400000000,60,49,76,0.8684389000,1.800810
148,-102.8750266958,8.8141098022,0.0400000000,84,74,120,0.8672509000,1.588386
149,-94.4553223276,8.5915403366,0.0400000000,49,41,64,0.8666173000,1.611297
150,-63.8469156358,9.4642219543,0.0400000000,60,54,78,0.8658451000,1.657727
151,-90.2643542977,8.6214828491,0.0400000000,63,49,79,0.8650630000,1.500743
152,-122.1127958539,8.7533721924,0.0400000000,60,47,80,0.8642710000,1.949000
153,-190.2033947836,9.0283250809,0.0400000000,90,72,121,0.8630731000,2.283022
154,-166.0812088485,8.9645404816,0.0400000000,73,60,100,0.8620831000,1.467445
155,-75.7440998508,9.0161457062,0.0300000000,56,49,70,0.8613901000,1.868852
156,-119.9704631590,9.0651798248,0.0300000000,67,60,86,0.8605387000,2.017039
157,-94.5496582869,9.0328197479,0.0300000000,55,45,67,0.8598754000,1.559056
158,-76.6569856637,9.0548801422,0.0200000000,39,34,62,0.8592616000,2.128641
159,-108.4960525921,9.1163520813,0.0200000000,57,44,72,0.8585488000,1.759357
160,-95.8955842626,9.1214227676,0.0200000000,46,41,61,0.8579449000,1.307643
161,-106.1196917357,9.2023353577,0.0200000000,56,52,75,0.8572024000,1.611251
162,-170.4193501385,8.7647953033,0.0200000000,71,65,98,0.8562322000,1.751270
163,-34.0257588194,9.0108041763,0.0300000000,79,73,93,0.8553115000,1.826123
164,-84.2161689249,8.8668146133,0.0300000000,54,44,68,0.8546383000,1.247353
165,-123.4731950935,9.7248363495,0.0300000000,61,56,80,0.8538463000,2.128737
166,-58.2399787916,8.7860012054,0.0300000000,98,83,128,0.8525791000,1.789866
167,-121.7892238068,8.9970521927,0.0300000000,70,60,90,0.8516881000,1.494567
168,-122.0115043682,8.6967115402,0.0300000000,57,48,73,0.8509654000,1.991922
169,-104.6386685771,9.3713274002,0.0300000000,100,83,117,0.8498071000,1.910807
