experiment,algorithm,environment,mean_reward_final_100,reward_std_final_100,best_moving_average_reward_100,final_fixed_set_average_q,safe_landing_rate_final_100,mean_attempted_thrusters_final_100,mean_executed_thrusters_final_100,successful_safe_landings_total,training_duration_seconds
dqn_original,DQN,Original,150.51753050033187,113.67488021821586,154.39739816143637,49.11587142944336,0.36,409.8,409.8,116,166.63041529708426
ddqn_original,DDQN,Original,218.2367811030669,98.01450098772142,226.33654175369998,80.51420593261719,0.71,304.11,304.11,166,137.971259694139
dqn_modified,DQN,Modified,-172.73336468395456,192.6720783644035,-56.870612987812144,48.56492233276367,0.19,655.06,557.94,86,89.0905181315029
ddqn_modified,DDQN,Modified,-150.41910507985494,200.68889602238826,-54.053481348394435,-6.724809646606445,0.25,595.74,507.37,83,98.71668857062468
