experiment,algorithm,environment_type,evaluation_episode,reward,successful_safe_landing,attempted_thruster_activations,executed_thruster_activations,episode_steps,random_seed,episode_seed
dqn_original,DQN,Original,87,64.3566994420166,1,86,86,131,148,100234
dqn_original,DQN,Original,88,31.17703494738572,0,90,90,122,148,100235
dqn_original,DQN,Original,89,27.29160074490413,0,86,86,120,148,100236
dqn_original,DQN,Original,90,13.320823853345146,0,68,68,112,148,100237
dqn_original,DQN,Original,91,-25.802110653062044,0,87,87,129,148,100238
dqn_original,DQN,Original,92,62.07208202886852,1,83,83,147,148,100239
dqn_original,DQN,Original,93,7.877844723346556,0,89,89,113,148,100240
dqn_original,DQN,Original,94,57.33514846112726,1,101,101,108,148,100241
dqn_original,DQN,Original,95,49.35715884694446,0,73,73,110,148,100242
dqn_original,DQN,Original,96,44.70683036605462,0,89,89,127,148,100243
dqn_original,DQN,Original,97,29.532406733022697,0,58,58,93,148,100244
dqn_original,DQN,Original,98,261.5307659910252,1,125,125,214,148,100245
dqn_original,DQN,Original,99,-72.25791702176153,0,55,55,76,148,100246
dqn_original,DQN,Original,100,-0.23188812193400565,0,129,129,175,148,100247
ddqn_original,DDQN,Original,1,-3.652446178445473,0,105,105,119,148,100148
ddqn_original,DDQN,Original,2,237.33658465225471,1,270,270,362,148,100149
ddqn_original,DDQN,Original,3,32.085346748880276,0,800,800,1000,148,100150
ddqn_original,DDQN,Original,4,277.92652009097446,1,152,152,218,148,100151
ddqn_original,DDQN,Original,5,263.32860471298835,0,715,715,736,148,100152
ddqn_original,DDQN,Original,6,295.0690172016082,1,108,108,162,148,100153
ddqn_original,DDQN,Original,7,-29.706208164285613,0,88,88,94,148,100154
ddqn_original,DDQN,Original,8,-58.69061857656465,0,672,672,1000,148,100155
ddqn_original,DDQN,Original,9,259.84643471869197,1,180,180,248,148,100156
ddqn_original,DDQN,Original,10,249.98088247793697,1,253,253,330,148,100157
ddqn_original,DDQN,Original,11,264.062273079334,1,223,223,376,148,100158
ddqn_original,DDQN,Original,12,173.92637233755,1,621,621,942,148,100159
ddqn_original,DDQN,Original,13,237.49708771338672,1,133,133,231,148,100160
ddqn_original,DDQN,Original,14,245.885524890941,1,216,216,341,148,100161
ddqn_original,DDQN,Original,15,226.60581275462758,1,443,443,559,148,100162
ddqn_original,DDQN,Original,16,27.480766043358585,0,92,92,98,148,100163
ddqn_original,DDQN,Original,17,259.051587891695,0,219,219,325,148,100164
ddqn_original,DDQN,Original,18,13.622278878541053,0,82,82,93,148,100165
ddqn_original,DDQN,Original,19,-53.66375686942101,0,643,643,1000,148,100166
ddqn_original,DDQN,Original,20,222.84706818472614,1,267,267,389,148,100167
ddqn_original,DDQN,Original,21,290.18659645605055,1,148,148,237,148,100168
ddqn_original,DDQN,Original,22,295.4538635679699,1,221,221,303,148,100169
ddqn_original,DDQN,Original,23,-102.40399134479789,0,621,621,1000,148,100170
ddqn_original,DDQN,Original,24,269.4228469812872,1,114,114,187,148,100171
ddqn_original,DDQN,Original,25,283.2863805166305,1,160,160,282,148,100172
ddqn_original,DDQN,Original,26,277.89336495276393,1,137,137,214,148,100173
ddqn_original,DDQN,Original,27,-87.15976350014452,0,641,641,1000,148,100174
ddqn_original,DDQN,Original,28,237.79011094620162,1,230,230,358,148,100175
ddqn_original,DDQN,Original,29,249.86201459007276,1,191,191,274,148,100176
ddqn_original,DDQN,Original,30,284.32612157866896,1,90,90,172,148,100177
ddqn_original,DDQN,Original,31,158.34336146317025,0,642,642,1000,148,100178
ddqn_original,DDQN,Original,32,299.1296208888898,1,221,221,317,148,100179
ddqn_original,DDQN,Original,33,256.4735813530988,0,825,825,890,148,100180
ddqn_original,DDQN,Original,34,279.14761923153117,1,109,109,187,148,100181
ddqn_original,DDQN,Original,35,272.0246666756524,1,204,204,280,148,100182
ddqn_original,DDQN,Original,36,233.39071514215323,1,327,327,493,148,100183
ddqn_original,DDQN,Original,37,255.3531143222007,1,137,137,247,148,100184
ddqn_original,DDQN,Original,38,244.49710637059843,1,118,118,197,148,100185
ddqn_original,DDQN,Original,39,288.108169858073,1,110,110,164,148,100186
ddqn_original,DDQN,Original,40,-104.28610788946477,0,619,619,1000,148,100187
ddqn_original,DDQN,Original,41,262.9436193552374,0,419,419,459,148,100188
ddqn_original,DDQN,Original,42,3.6410587471023774,0,89,89,108,148,100189
ddqn_original,DDQN,Original,43,250.30863762827582,1,164,164,238,148,100190
ddqn_original,DDQN,Original,44,23.676613497289537,0,101,101,107,148,100191
ddqn_original,DDQN,Original,45,255.54345207319602,1,227,227,302,148,100192
ddqn_original,DDQN,Original,46,38.782661283377706,0,149,149,206,148,100193
ddqn_original,DDQN,Original,47,265.92426635965694,1,134,134,246,148,100194
ddqn_original,DDQN,Original,48,208.68793434321424,1,506,506,690,148,100195
ddqn_original,DDQN,Original,49,-264.52380762495454,0,94,94,98,148,100196
ddqn_original,DDQN,Original,50,183.7153654667055,1,531,531,791,148,100197
ddqn_original,DDQN,Original,51,251.56927722338818,1,133,133,251,148,100198
ddqn_original,DDQN,Original,52,244.39728940003897,1,200,200,331,148,100199
ddqn_original,DDQN,Original,53,262.6158257822106,1,197,197,283,148,100200
ddqn_original,DDQN,Original,54,253.40831432265225,1,202,202,285,148,100201
ddqn_original,DDQN,Original,55,267.510123681375,1,151,151,220,148,100202
ddqn_original,DDQN,Original,56,254.29673213028403,1,172,172,281,148,100203
ddqn_original,DDQN,Original,57,269.06924362050404,1,149,149,243,148,100204
ddqn_original,DDQN,Original,58,-74.84564131274263,0,643,643,1000,148,100205
ddqn_original,DDQN,Original,59,249.50523006971616,1,153,153,245,148,100206
ddqn_original,DDQN,Original,60,46.82811019565102,0,103,103,110,148,100207
ddqn_original,DDQN,Original,61,-14.017661936221437,0,766,766,1000,148,100208
ddqn_original,DDQN,Original,62,253.9826548911885,1,212,212,300,148,100209
ddqn_original,DDQN,Original,63,265.638363385209,1,157,157,263,148,100210
ddqn_original,DDQN,Original,64,298.459029636303,1,111,111,151,148,100211
ddqn_original,DDQN,Original,65,303.4387153649783,1,180,180,235,148,100212
ddqn_original,DDQN,Original,66,258.1396202402684,1,155,155,235,148,100213
ddqn_original,DDQN,Original,67,-90.83011850590322,0,664,664,1000,148,100214
ddqn_original,DDQN,Original,68,28.614156328763755,0,87,87,95,148,100215
ddqn_original,DDQN,Original,69,269.725041434575,0,125,125,200,148,100216
ddqn_original,DDQN,Original,70,10.070538556260558,0,88,88,97,148,100217
ddqn_original,DDQN,Original,71,237.50625802948673,1,170,170,254,148,100218
ddqn_original,DDQN,Original,72,255.32345135586363,1,150,150,237,148,100219
ddqn_original,DDQN,Original,73,35.627115409804276,0,138,138,176,148,100220
ddqn_original,DDQN,Original,74,289.50149772585905,0,396,396,460,148,100221
ddqn_original,DDQN,Original,75,-16.42902951375366,0,84,84,108,148,100222
ddqn_original,DDQN,Original,76,229.43822627240044,1,147,147,234,148,100223
ddqn_original,DDQN,Original,77,253.93024207463725,1,236,236,341,148,100224
ddqn_original,DDQN,Original,78,12.730361318715751,0,100,100,123,148,100225
ddqn_original,DDQN,Original,79,270.9720636988269,0,108,108,175,148,100226
ddqn_original,DDQN,Original,80,-103.53348249461092,0,320,320,478,148,100227
ddqn_original,DDQN,Original,81,266.4740518729872,1,260,260,328,148,100228
ddqn_original,DDQN,Original,82,206.2886001631839,1,325,325,502,148,100229
ddqn_original,DDQN,Original,83,58.546349911198035,0,71,71,92,148,100230
ddqn_original,DDQN,Original,84,273.1287147279892,1,157,157,277,148,100231
ddqn_original,DDQN,Original,85,-0.8661039695187469,0,84,84,105,148,100232
ddqn_original,DDQN,Original,86,-100.79023482733665,0,665,665,1000,148,100233
ddqn_original,DDQN,Original,87,274.85312498705423,1,129,129,252,148,100234
ddqn_original,DDQN,Original,88,25.97689793611154,0,74,74,92,148,100235
ddqn_original,DDQN,Original,89,233.26195157552317,1,263,263,390,148,100236
ddqn_original,DDQN,Original,90,238.23916880402922,1,150,150,226,148,100237
ddqn_original,DDQN,Original,91,238.4523568478362,1,353,353,560,148,100238
ddqn_original,DDQN,Original,92,274.55560323724933,1,122,122,265,148,100239
ddqn_original,DDQN,Original,93,5.082434195315216,0,89,89,104,148,100240
ddqn_original,DDQN,Original,94,21.241598207602564,0,83,83,89,148,100241
ddqn_original,DDQN,Original,95,264.6997106808331,1,143,143,196,148,100242
ddqn_original,DDQN,Original,96,0.5854076043999328,0,86,86,105,148,100243
ddqn_original,DDQN,Original,97,265.1343564021337,1,178,178,290,148,100244
ddqn_original,DDQN,Original,98,250.35907754131716,1,175,175,248,148,100245
ddqn_original,DDQN,Original,99,267.8510450322659,1,317,317,418,148,100246
ddqn_original,DDQN,Original,100,218.44502644377397,1,290,290,431,148,100247
dqn_modified,DQN,Modified,1,-205.6436308244339,0,749,638,1000,148,100148
dqn_modified,DQN,Modified,2,230.22592645708778,1,205,178,350,148,100149
dqn_modified,DQN,Modified,3,190.7043169265649,1,342,292,558,148,100150
dqn_modified,DQN,Modified,4,256.30962884165467,1,195,160,302,148,100151
dqn_modified,DQN,Modified,5,-11.343341716394264,0,154,135,208,148,100152
dqn_modified,DQN,Modified,6,-225.5270565520274,0,706,611,1000,148,100153
dqn_modified,DQN,Modified,7,-205.70631176616752,0,717,621,1000,148,100154
dqn_modified,DQN,Modified,8,128.43041759019303,1,517,430,764,148,100155
dqn_modified,DQN,Modified,9,102.3972705948826,0,261,225,482,148,100156
dqn_modified,DQN,Modified,10,265.46717340942496,1,170,146,264,148,100157
dqn_modified,DQN,Modified,11,40.05874918599951,0,534,440,784,148,100158
dqn_modified,DQN,Modified,12,-228.31496419576422,0,736,625,1000,148,100159
dqn_modified,DQN,Modified,13,224.70804480161888,1,177,143,323,148,100160
dqn_modified,DQN,Modified,14,205.5294521234105,1,228,194,395,148,100161
dqn_modified,DQN,Modified,15,-2.122422091962548,0,735,612,833,148,100162
dqn_modified,DQN,Modified,16,60.188277055204,0,439,378,644,148,100163
dqn_modified,DQN,Modified,17,-49.7624025290491,0,195,160,278,148,100164
dqn_modified,DQN,Modified,18,-228.65859496449886,0,743,644,1000,148,100165
dqn_modified,DQN,Modified,19,-39.5732800195789,0,653,542,937,148,100166
dqn_modified,DQN,Modified,20,243.88169360944127,1,164,147,296,148,100167
dqn_modified,DQN,Modified,21,280.6223785187092,1,187,155,301,148,100168
dqn_modified,DQN,Modified,22,127.75047132926701,0,387,317,614,148,100169
dqn_modified,DQN,Modified,23,-275.4440183415297,0,612,526,840,148,100170
dqn_modified,DQN,Modified,24,14.048673288842451,0,481,402,674,148,100171
dqn_modified,DQN,Modified,25,220.84516982679193,1,264,232,431,148,100172
dqn_modified,DQN,Modified,26,-218.69833658419938,0,704,602,1000,148,100173
dqn_modified,DQN,Modified,27,242.62244331363993,1,222,200,409,148,100174
dqn_modified,DQN,Modified,28,182.86024680490726,1,255,209,399,148,100175
dqn_modified,DQN,Modified,29,-24.69498163578082,0,168,147,243,148,100176
dqn_modified,DQN,Modified,30,-198.93460230088115,0,739,630,1000,148,100177
dqn_modified,DQN,Modified,31,-213.98807334678335,0,723,613,1000,148,100178
dqn_modified,DQN,Modified,32,11.77313401772679,0,644,567,834,148,100179
dqn_modified,DQN,Modified,33,68.55538995038201,1,566,482,791,148,100180
dqn_modified,DQN,Modified,34,234.5164273702255,1,217,186,349,148,100181
dqn_modified,DQN,Modified,35,265.0167116769903,1,192,166,315,148,100182
dqn_modified,DQN,Modified,36,178.78276891140968,1,288,243,436,148,100183
dqn_modified,DQN,Modified,37,209.1871395826762,1,247,210,398,148,100184
dqn_modified,DQN,Modified,38,-29.098483384982586,0,506,435,770,148,100185
dqn_modified,DQN,Modified,39,-251.72965291360867,0,743,634,1000,148,100186
dqn_modified,DQN,Modified,40,29.944699123782968,1,568,469,798,148,100187
dqn_modified,DQN,Modified,41,221.51888630821423,1,308,276,529,148,100188
dqn_modified,DQN,Modified,42,-223.58031299523077,0,732,629,1000,148,100189
dqn_modified,DQN,Modified,43,-63.785408931325094,0,540,455,758,148,100190
dqn_modified,DQN,Modified,44,-175.09999873918574,0,739,627,1000,148,100191
dqn_modified,DQN,Modified,45,139.4467483939095,1,395,328,574,148,100192
dqn_modified,DQN,Modified,46,-101.5743490223512,0,161,134,221,148,100193
dqn_modified,DQN,Modified,47,234.29304321126466,1,195,160,335,148,100194
dqn_modified,DQN,Modified,48,27.887121934662744,0,535,439,963,148,100195
dqn_modified,DQN,Modified,49,182.31064831112175,0,209,180,334,148,100196
dqn_modified,DQN,Modified,50,-28.795122117105137,0,493,425,758,148,100197
dqn_modified,DQN,Modified,51,153.533031058762,1,324,274,508,148,100198
dqn_modified,DQN,Modified,52,250.68998566079478,1,182,159,362,148,100199
dqn_modified,DQN,Modified,53,229.0021163807408,1,232,201,383,148,100200
dqn_modified,DQN,Modified,54,266.17116188263185,1,196,174,328,148,100201
dqn_modified,DQN,Modified,55,258.45831621950475,1,165,148,276,148,100202
dqn_modified,DQN,Modified,56,264.6758476602357,1,159,127,247,148,100203
dqn_modified,DQN,Modified,57,195.6911578721489,0,179,159,299,148,100204
dqn_modified,DQN,Modified,58,86.70658985062653,0,398,327,472,148,100205
dqn_modified,DQN,Modified,59,-37.972984116361914,0,573,488,833,148,100206
dqn_modified,DQN,Modified,60,-194.60871799055568,0,747,644,1000,148,100207
dqn_modified,DQN,Modified,61,271.78821190737904,1,169,149,341,148,100208
dqn_modified,DQN,Modified,62,282.05575746338235,1,140,117,226,148,100209
dqn_modified,DQN,Modified,63,250.52876856456135,1,190,160,296,148,100210
dqn_modified,DQN,Modified,64,-225.7589517967651,0,745,627,1000,148,100211
dqn_modified,DQN,Modified,65,271.4359369200342,1,237,196,337,148,100212
dqn_modified,DQN,Modified,66,228.5281568526636,1,198,174,353,148,100213
dqn_modified,DQN,Modified,67,258.9458411253487,1,229,203,339,148,100214
dqn_modified,DQN,Modified,68,25.574172834097766,0,541,461,688,148,100215
dqn_modified,DQN,Modified,69,-256.06657656016137,0,587,496,788,148,100216
dqn_modified,DQN,Modified,70,41.129536647421816,1,591,505,785,148,100217
dqn_modified,DQN,Modified,71,219.37324564300647,1,191,173,334,148,100218
