episode,step,selected_action,executed_action,misfire,base_reward,modified_reward,expected_fuel_penalty,safe_landing_bonus,reward_check_passed
1,1,2,2,False,1.4428873833006264,1.1428873833006263,0.3,0.0,True
1,2,1,1,False,0.09675909049636403,-0.20324090950363596,0.3,0.0,True
1,3,1,1,False,0.3959672413131454,0.09596724131314543,0.3,0.0,True
1,4,2,2,False,0.4395730899971511,0.13957308999715112,0.3,0.0,True
1,5,0,0,False,-0.7297804476044689,-0.7297804476044689,0.0,0.0,True
1,6,3,0,True,-0.7561278413027139,-1.056127841302714,0.3,0.0,True
1,7,1,0,True,-0.7806678414609678,-1.0806678414609678,0.3,0.0,True
1,8,1,1,False,0.09148158704241041,-0.20851841295758958,0.3,0.0,True
1,9,2,0,True,-0.6677818826603072,-0.9677818826603073,0.3,0.0,True
1,10,0,0,False,-0.6851936305770607,-0.6851936305770607,0.0,0.0,True
1,11,2,2,False,1.8189954611424468,1.5189954611424468,0.3,0.0,True
1,12,2,2,False,-0.2847769499110086,-0.5847769499110086,0.3,0.0,True
1,13,1,1,False,0.5612201658527181,0.26122016585271807,0.3,0.0,True
1,14,1,1,False,0.6610637171208975,0.3610637171208975,0.3,0.0,True
1,15,1,1,False,0.558975446219024,0.25897544621902396,0.3,0.0,True
1,16,2,2,False,2.2297430261909996,1.9297430261909996,0.3,0.0,True
1,17,2,2,False,0.20092578041574144,-0.09907421958425855,0.3,0.0,True
1,18,2,2,False,0.87273405968794,0.57273405968794,0.3,0.0,True
1,19,2,2,False,1.048095463355179,0.7480954633551788,0.3,0.0,True
1,20,3,0,True,-0.24734860043997742,-0.5473486004399775,0.3,0.0,True
1,21,3,3,False,-1.5031160374176398,-1.8031160374176398,0.3,0.0,True
1,22,1,1,False,0.3588573565387787,0.058857356538778716,0.3,0.0,True
1,23,2,2,False,2.7175694741623717,2.417569474162372,0.3,0.0,True
1,24,3,3,False,-1.623269921263925,-1.923269921263925,0.3,0.0,True
1,25,2,0,True,-0.6657923477121983,-0.9657923477121984,0.3,0.0,True
1,26,3,3,False,-1.587615900624711,-1.887615900624711,0.3,0.0,True
1,27,1,1,False,0.1784807612789632,-0.12151923872103679,0.3,0.0,True
1,28,2,2,False,0.9469697197279003,0.6469697197279003,0.3,0.0,True
1,29,3,3,False,-1.7783755164223567,-2.0783755164223567,0.3,0.0,True
1,30,2,2,False,1.1997852638981328,0.8997852638981327,0.3,0.0,True
1,31,3,3,False,-2.015103716347794,-2.3151037163477937,0.3,0.0,True
1,32,3,3,False,-1.9570991973915557,-2.2570991973915557,0.3,0.0,True
1,33,0,0,False,-1.2460992003526599,-1.2460992003526599,0.0,0.0,True
1,34,0,0,False,-1.2411115657221785,-1.2411115657221785,0.0,0.0,True
1,35,3,3,False,-2.1662920059039537,-2.4662920059039535,0.3,0.0,True
1,36,0,0,False,-1.3982361241410786,-1.3982361241410786,0.0,0.0,True
1,37,1,1,False,-0.38259905984955256,-0.6825990598495526,0.3,0.0,True
1,38,3,0,True,-1.174686068146599,-1.474686068146599,0.3,0.0,True
1,39,0,0,False,-1.163625227293835,-1.163625227293835,0.0,0.0,True
1,40,0,0,False,-1.1519216808039516,-1.1519216808039516,0.0,0.0,True
1,41,1,1,False,-0.4624754354752827,-0.7624754354752827,0.3,0.0,True
1,42,0,0,False,-0.978786798173445,-0.978786798173445,0.0,0.0,True
1,43,0,0,False,-0.9660060806118622,-0.9660060806118622,0.0,0.0,True
1,44,0,0,False,-0.9534440398567767,-0.9534440398567767,0.0,0.0,True
1,45,2,2,False,0.48487793059090906,0.18487793059090907,0.3,0.0,True
1,46,1,1,False,0.029186041428858972,-0.270813958571141,0.3,0.0,True
1,47,0,0,False,-0.743874067874799,-0.743874067874799,0.0,0.0,True
1,48,1,1,False,-0.08090069773766004,-0.38090069773766,0.3,0.0,True
1,49,1,1,False,0.03476601063781118,-0.2652339893621888,0.3,0.0,True
1,50,3,3,False,-1.466114939674411,-1.7661149396744111,0.3,0.0,True
1,51,2,0,True,-0.6491788560889233,-0.9491788560889234,0.3,0.0,True
1,52,2,2,False,1.6417244733323286,1.3417244733323286,0.3,0.0,True
1,53,3,3,False,-1.4465988186384198,-1.7465988186384198,0.3,0.0,True
1,54,2,0,True,-0.8577586643312429,-1.157758664331243,0.3,0.0,True
1,55,2,0,True,-0.8685779043056527,-1.1685779043056528,0.3,0.0,True
1,56,2,2,False,1.51177778052583,1.2117777805258299,0.3,0.0,True
1,57,3,3,False,-1.7851818994419648,-2.085181899441965,0.3,0.0,True
1,58,1,1,False,-0.45445279418316775,-0.7544527941831678,0.3,0.0,True
1,59,1,1,False,-0.14297919281699364,-0.4429791928169936,0.3,0.0,True
1,60,1,1,False,-0.15979079006606753,-0.4597907900660675,0.3,0.0,True
1,61,3,0,True,-0.7489092611003514,-1.0489092611003514,0.3,0.0,True
1,62,0,0,False,-0.8040715061386834,-0.8040715061386834,0.0,0.0,True
1,63,2,2,False,2.6302404191177233,2.3302404191177235,0.3,0.0,True
1,64,3,3,False,-2.0811166760389015,-2.3811166760389013,0.3,0.0,True
1,65,3,3,False,-2.055364816931642,-2.3553648169316417,0.3,0.0,True
1,66,2,2,False,0.9125231453833862,0.6125231453833861,0.3,0.0,True
1,67,3,3,False,-2.4664289206723695,-2.7664289206723693,0.3,0.0,True
1,68,0,0,False,-2.0174170284928152,-2.0174170284928152,0.0,0.0,True
1,69,3,0,True,-2.1490342849720037,-2.4490342849720035,0.3,0.0,True
1,70,0,0,False,-2.2944230143397704,-2.2944230143397704,0.0,0.0,True
1,71,2,2,False,-1.3622710863306111,-1.6622710863306112,0.3,0.0,True
1,72,0,0,False,-2.585996705479147,-2.585996705479147,0.0,0.0,True
1,73,2,2,False,0.7565257055813788,0.4565257055813788,0.3,0.0,True
1,74,2,2,False,-1.7145934946675994,-2.0145934946675994,0.3,0.0,True
1,75,1,1,False,18.296180594108932,17.99618059410893,0.3,0.0,True
1,76,3,3,False,-100.0,-100.3,0.3,0.0,True
2,1,0,0,False,-0.4577811842695496,-0.4577811842695496,0.0,0.0,True
2,2,0,0,False,-0.5562294515098642,-0.5562294515098642,0.0,0.0,True
2,3,3,3,False,-1.6980129538424353,-1.9980129538424354,0.3,0.0,True
2,4,0,0,False,-0.81267728246155,-0.81267728246155,0.0,0.0,True
2,5,2,2,False,-3.2439275716324003,-3.5439275716324,0.3,0.0,True
2,6,1,0,True,-0.7834733173888253,-1.0834733173888254,0.3,0.0,True
2,7,1,1,False,0.27730125996279864,-0.022698740037201348,0.3,0.0,True
2,8,3,3,False,-1.649268565773666,-1.9492685657736661,0.3,0.0,True
2,9,2,2,False,-3.2231664992265108,-3.5231664992265106,0.3,0.0,True
2,10,3,3,False,-2.1499341137394183,-2.449934113739418,0.3,0.0,True
2,11,3,3,False,-2.4237690435628267,-2.7237690435628266,0.3,0.0,True
2,12,1,0,True,-1.3174816086993246,-1.6174816086993247,0.3,0.0,True
2,13,0,0,False,-1.351131476742836,-1.351131476742836,0.0,0.0,True
2,14,0,0,False,-1.3843904825754692,-1.3843904825754692,0.0,0.0,True
2,15,3,3,False,-2.8266898661793776,-3.1266898661793774,0.3,0.0,True
2,16,3,3,False,-2.998867799336607,-3.2988677993366067,0.3,0.0,True
2,17,2,2,False,-2.5157388513438717,-2.8157388513438715,0.3,0.0,True
2,18,2,2,False,-2.7617687518276623,-3.061768751827662,0.3,0.0,True
2,19,1,1,False,-0.6353900336471827,-0.9353900336471828,0.3,0.0,True
2,20,1,1,False,-0.6248250404047428,-0.9248250404047429,0.3,0.0,True
2,21,1,1,False,-0.6780687266031851,-0.9780687266031851,0.3,0.0,True
2,22,0,0,False,-1.434486460303475,-1.434486460303475,0.0,0.0,True
2,23,3,3,False,-2.4467090461775443,-2.746709046177544,0.3,0.0,True
2,24,2,2,False,-1.679849847335322,-1.979849847335322,0.3,0.0,True
2,25,1,1,False,-0.4688428900903705,-0.7688428900903705,0.3,0.0,True
2,26,1,1,False,-0.4068098677672356,-0.7068098677672356,0.3,0.0,True
2,27,3,3,False,-2.7000952064915666,-3.0000952064915665,0.3,0.0,True
2,28,0,0,False,-1.5562048584489503,-1.5562048584489503,0.0,0.0,True
2,29,0,0,False,-1.5704757364301827,-1.5704757364301827,0.0,0.0,True
2,30,0,0,False,-1.5825906469526103,-1.5825906469526103,0.0,0.0,True
2,31,0,0,False,-1.592604129674669,-1.592604129674669,0.0,0.0,True
2,32,0,0,False,-1.6005029342082366,-1.6005029342082366,0.0,0.0,True
2,33,2,2,False,-1.8825271748963701,-2.18252717489637,0.3,0.0,True
2,34,0,0,False,-1.6081269524114532,-1.6081269524114532,0.0,0.0,True
2,35,3,3,False,-2.810857811343594,-3.110857811343594,0.3,0.0,True
2,36,1,1,False,-0.6537672962719785,-0.9537672962719785,0.3,0.0,True
2,37,1,0,True,-1.6076558534346077,-1.9076558534346078,0.3,0.0,True
2,38,0,0,False,-1.6063618934840065,-1.6063618934840065,0.0,0.0,True
2,39,3,3,False,-2.952637214291626,-3.2526372142916258,0.3,0.0,True
2,40,0,0,False,-1.8411457171383745,-1.8411457171383745,0.0,0.0,True
2,41,2,2,False,-1.2224705518468568,-1.5224705518468569,0.3,0.0,True
2,42,2,2,False,-1.3084940203825,-1.6084940203825,0.3,0.0,True
2,43,1,1,False,-0.6737165800604135,-0.9737165800604135,0.3,0.0,True
2,44,2,2,False,-2.627857085348114,-2.927857085348114,0.3,0.0,True
2,45,2,2,False,-3.879730970228695,-4.179730970228695,0.3,0.0,True
2,46,3,0,True,-1.6264080570252872,-1.9264080570252873,0.3,0.0,True
2,47,0,0,False,-1.6266377811895154,-1.6266377811895154,0.0,0.0,True
2,48,0,0,False,-1.6263563852539278,-1.6263563852539278,0.0,0.0,True
2,49,3,3,False,-2.593005453929179,-2.8930054539291787,0.3,0.0,True
2,50,2,2,False,-1.8515562795785059,-2.151556279578506,0.3,0.0,True
2,51,1,1,False,-0.6254614266727845,-0.9254614266727845,0.3,0.0,True
2,52,3,3,False,-2.775106292583955,-3.0751062925839547,0.3,0.0,True
2,53,1,1,False,-0.6065802113521659,-0.9065802113521659,0.3,0.0,True
2,54,0,0,False,-1.6149542378324213,-1.6149542378324213,0.0,0.0,True
2,55,3,3,False,-2.8412977106258652,-3.141297710625865,0.3,0.0,True
2,56,2,2,False,-3.949628372517952,-4.249628372517952,0.3,0.0,True
2,57,3,3,False,-2.869682014361642,-3.169682014361642,0.3,0.0,True
2,58,2,2,False,-2.4398539648999416,-2.7398539648999414,0.3,0.0,True
2,59,0,0,False,-2.0819569514525256,-2.0819569514525256,0.0,0.0,True
2,60,2,2,False,-3.5051584412039913,-3.805158441203991,0.3,0.0,True
2,61,3,3,False,-3.1432304508714695,-3.4432304508714693,0.3,0.0,True
2,62,3,3,False,-3.407089025776854,-3.707089025776854,0.3,0.0,True
2,63,3,3,False,-3.9068029628254224,-4.206802962825423,0.3,0.0,True
2,64,3,3,False,-4.139325278830966,-4.439325278830966,0.3,0.0,True
2,65,3,3,False,-4.17830385495543,-4.4783038549554295,0.3,0.0,True
2,66,0,0,False,-3.399689623285326,-3.399689623285326,0.0,0.0,True
2,67,0,0,False,-3.435280751006303,-3.435280751006303,0.0,0.0,True
2,68,0,0,False,-3.475368213602735,-3.475368213602735,0.0,0.0,True
2,69,0,0,False,-3.520310861292103,-3.520310861292103,0.0,0.0,True
2,70,3,3,False,-4.506883165474306,-4.806883165474305,0.3,0.0,True
2,71,2,0,True,-3.837857303859323,-4.137857303859323,0.3,0.0,True
2,72,0,0,False,-3.9007011497928943,-3.9007011497928943,0.0,0.0,True
2,73,2,2,False,-5.181027369196545,-5.4810273691965445,0.3,0.0,True
2,74,0,0,False,-4.119988702499711,-4.119988702499711,0.0,0.0,True
2,75,1,1,False,-3.037348327319164,-3.3373483273191638,0.3,0.0,True
2,76,2,2,False,-5.199841788711171,-5.499841788711171,0.3,0.0,True
2,77,3,3,False,-5.124487677549353,-5.424487677549353,0.3,0.0,True
2,78,1,1,False,-3.4710188454720012,-3.771018845472001,0.3,0.0,True
2,79,3,3,False,-5.114060489826016,-5.414060489826015,0.3,0.0,True
2,80,1,1,False,-3.9785965299648454,-4.278596529964846,0.3,0.0,True
2,81,1,0,True,-4.604080521575611,-4.904080521575611,0.3,0.0,True
2,82,1,1,False,-3.9289887249815068,-4.228988724981507,0.3,0.0,True
2,83,2,2,False,-8.126887623569917,-8.426887623569918,0.3,0.0,True
2,84,1,1,False,-4.0671059776552445,-4.367105977655244,0.3,0.0,True
2,85,2,2,False,-1.3125724151643,-1.6125724151643,0.3,0.0,True
2,86,2,2,False,26.828147584431473,26.528147584431473,0.3,0.0,True
2,87,2,2,False,-37.65027363625465,-37.95027363625465,0.3,0.0,True
2,88,3,3,False,-28.681613863758372,-28.981613863758373,0.3,0.0,True
2,89,1,1,False,-100.0,-100.3,0.3,0.0,True
3,1,0,0,False,-0.3426934884629418,-0.3426934884629418,0.0,0.0,True
3,2,0,0,False,-0.43574068771496854,-0.43574068771496854,0.0,0.0,True
3,3,1,1,False,0.7809529334817864,0.4809529334817864,0.3,0.0,True
